agent_id,chat_id,is_director,welcome_message,speaker,message,turn,is_english_turn,is_english_chat,public_name,last_message_time
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_aaada713-81de-4e9a-96ce-7f08923b0250,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",0,True,True,oneai,2024-05-30 09:53:05
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_aaada713-81de-4e9a-96ce-7f08923b0250,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",user,hi,1,True,True,oneai,2024-05-30 09:53:05
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_aaada713-81de-4e9a-96ce-7f08923b0250,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,*Do you want to boost leads and sales with an AI Agent like me?*,2,True,True,oneai,2024-05-30 09:53:05
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_aaada713-81de-4e9a-96ce-7f08923b0250,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",user,yes,3,True,True,oneai,2024-05-30 09:53:05
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_aaada713-81de-4e9a-96ce-7f08923b0250,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,"Perfect

*A GPT Agent on your website can do this.

Would you like to build one?
*",4,True,True,oneai,2024-05-30 09:53:05
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_aaada713-81de-4e9a-96ce-7f08923b0250,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",user,"Yes, I want to create one!",5,True,True,oneai,2024-05-30 09:53:05
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_aaada713-81de-4e9a-96ce-7f08923b0250,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,"No problem!
To create an Agent, you can start by visiting the [AgentMaker](https://oneai.com/~agentmaker). Here, you'll need to upload the URL of your website. A new agent will be created and will automatically learn the content of your website. After that, you can personalize your agent to align with your brand by heading over to the [Agent Studio](https://studio.oneai.com/agent) to customize aspects like logo, brand colors, tone of voice, as well as the agent's behavior and goals. Do you have a specific type of Agent in mind?",6,True,True,oneai,2024-05-30 09:53:05
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_7f663bc6-3bd0-4408-9692-01256fd98896,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",0,True,True,oneai,2024-05-30 09:54:17
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_7f663bc6-3bd0-4408-9692-01256fd98896,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",user,How can I create an AI Agent with my content?,1,True,True,oneai,2024-05-30 09:54:17
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_7f663bc6-3bd0-4408-9692-01256fd98896,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,"To create an AI Agent with your content, you can follow these steps:

1. **Create Your Agent**: Visit the [AgentMaker](https://oneai.com/~agentmaker), upload your website's URL, and the agent will be automatically created and learn your website's content.

2. **Personalize Your Agent**: Customize your agent's logo, brand colors, tone of voice, behavior, and goals at the [Agent Studio](https://studio.oneai.com/agent). You can also enrich the agent's knowledge with additional content like documents and videos.

3. **Get the Embed Script**: Once your agent is ready, click ""Share"" → ""Embed on Website"" on the agent's page to get the `<script>` tag to embed on your website.

4. **Embed Your Agent**: Paste the copied `<script>` tag into the `<head>` section of your website's HTML, on every path where you want the agent to appear.

Would you like to build one?",2,True,True,oneai,2024-05-30 09:54:17
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_ab0158d7-db24-465a-a93b-4c19ef06435c,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",0,True,True,oneai,2024-05-30 09:54:28
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_ab0158d7-db24-465a-a93b-4c19ef06435c,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",user,How can I embed my AI Agent on my website?,1,True,True,oneai,2024-05-30 09:54:28
a528ce6e-6e37-4e3b-992a-4404abcb9909,chat_ab0158d7-db24-465a-a93b-4c19ef06435c,True,"Hi, I'm OneAI's GPT! 👋

*Do you want to boost leads and sales with an AI Agent like me?*",assistant,"Thank you! 🌟 To embed your AI Agent on your website, you can follow these steps:

1. **Create Your Agent**: Start by visiting the [AgentMaker](https://oneai.com/~agentmaker). A new agent will be created and will automatically learn the content of your website.

2. **Personalize Your Agent**: Customize your agent to align with your brand. Head over to the [Agent Studio](https://studio.oneai.com/agent) to adjust the logo, brand colors, tone of voice, as well as the agent’s persona, behavior, and goals.

3. **Get the Embed Script**: Once your agent is ready, click “Share” → “Embed on Website” to get the script tag.

4. **Embed Your Agent**: Paste the script tag into the `<head>` section of your website's HTML.

Would you like to build one?

*A GPT Agent on your website can do this. Would you like to build one?*",2,True,True,oneai,2024-05-30 09:54:28
cf9b3a2a-7aa0-4fe7-9fda-31083c2fca0b,chat_04de56fa-971e-4f0a-a4ab-494b62d11be4,,"Hello! I'm agent mali.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",assistant,"Hello! I'm agent mali.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",0,True,True,mali,2024-05-30 09:58:58
cf9b3a2a-7aa0-4fe7-9fda-31083c2fca0b,chat_04de56fa-971e-4f0a-a4ab-494b62d11be4,,"Hello! I'm agent mali.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",user,Who is Mali's best-known historian?,1,True,True,mali,2024-05-30 09:58:58
cf9b3a2a-7aa0-4fe7-9fda-31083c2fca0b,chat_04de56fa-971e-4f0a-a4ab-494b62d11be4,,"Hello! I'm agent mali.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",assistant,The most well-known historian in Mali is Amadou Hampâté Bâ.,2,True,True,mali,2024-05-30 09:58:58
a55c2e04-127c-498a-84f8-48fb40d72bee,chat_d594ef16-2cbe-4fe8-84d3-4b5dcbb080e3,,"Hello! I'm agent augustus-caesar.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",assistant,"Hello! I'm agent augustus-caesar.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",0,True,True,augustus-caesar,2024-05-30 09:59:39
a55c2e04-127c-498a-84f8-48fb40d72bee,chat_d594ef16-2cbe-4fe8-84d3-4b5dcbb080e3,,"Hello! I'm agent augustus-caesar.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",user,Who influenced Augustus on occasion?,1,True,True,augustus-caesar,2024-05-30 09:59:39
a55c2e04-127c-498a-84f8-48fb40d72bee,chat_d594ef16-2cbe-4fe8-84d3-4b5dcbb080e3,,"Hello! I'm agent augustus-caesar.
I'm here to answer any questions you have, or maybe you'd rather choose a question others are asking me?",assistant,"Augustus was influenced on occasion by Livia, his wife.",2,True,True,augustus-caesar,2024-05-30 09:59:39
224f479d-f2f6-4568-a2b0-c1a190bc82a7,chat_61b3fe51-b0f5-44e2-b850-0477792969df,,"Hi! I'm BIGVU's AI support bot. 
How can I help you today?",assistant,"Hi! I'm BIGVU's AI support bot. 
How can I help you today?",0,True,True,bigvu-expert,2024-05-30 10:06:33
224f479d-f2f6-4568-a2b0-c1a190bc82a7,chat_61b3fe51-b0f5-44e2-b850-0477792969df,,"Hi! I'm BIGVU's AI support bot. 
How can I help you today?",user,desktop app?,1,True,True,bigvu-expert,2024-05-30 10:06:33
224f479d-f2f6-4568-a2b0-c1a190bc82a7,chat_61b3fe51-b0f5-44e2-b850-0477792969df,,"Hi! I'm BIGVU's AI support bot. 
How can I help you today?",assistant,"BIGVU's desktop app is called BIGVU Desk. It is a web-based software application that uses a web browser as a client. You can access BIGVU Desk on your computer to easily produce videos, modify them, compose new video sequences, and more. It offers a complete toolset to capture video, add elements like presentations and interviews, and even stream or send your videos to third-party platforms.",2,True,True,bigvu-expert,2024-05-30 10:06:33
224f479d-f2f6-4568-a2b0-c1a190bc82a7,chat_61b3fe51-b0f5-44e2-b850-0477792969df,,"Hi! I'm BIGVU's AI support bot. 
How can I help you today?",user,is there a camera option for recording?,3,True,True,bigvu-expert,2024-05-30 10:06:33
224f479d-f2f6-4568-a2b0-c1a190bc82a7,chat_61b3fe51-b0f5-44e2-b850-0477792969df,,"Hi! I'm BIGVU's AI support bot. 
How can I help you today?",assistant,"I'm sorry, but I couldn't find that information in the documentation. My responses are based solely on the information provided in the documentation.",4,True,True,bigvu-expert,2024-05-30 10:06:33
eb926ab6-16d9-4328-a548-59db9213c99e,chat_798aee07-16d3-4f28-b40d-bc96a35d38b3,,"Hi, I’m the AgentMaker 👋
Let's create your personalized GPT-Agent  **based on your website.**",assistant,"Hi, I’m the AgentMaker 👋
Let's create your personalized GPT-Agent  **based on your website.**",0,True,True,agentmaker,2024-05-30 10:01:36
eb926ab6-16d9-4328-a548-59db9213c99e,chat_798aee07-16d3-4f28-b40d-bc96a35d38b3,,"Hi, I’m the AgentMaker 👋
Let's create your personalized GPT-Agent  **based on your website.**",user,How does OneAgent help businesses in the AI era?,1,True,True,agentmaker,2024-05-30 10:01:36
